city,feature,trend_slope,trend_total_change,mann_kendall_tau,mann_kendall_p,mann_kendall_significance,dominant_period_hours,dominant_period_days,seasonal_strength,trend_strength,seasonal_variability,seasonal_std,seasonal_range
Accra,air_quality_Carbon_Monoxide,-0.35430753523553865,-86.05638685670235,-0.5700170997989363,1.6034482006631217e-117,***,17520.0,730.0,0.17614624762077435,0.8394723047918777,47.40734949624837,25.533844975200676,273.2838497576095
Accra,air_quality_PM10,-0.020798618254339946,5.46383727979649,-0.0393295375537892,0.11180645600171021,ns,8760.0,365.0,0.0,0.5815472962761745,21.840660528694567,7.676383270421565,90.87669653033026
Accra,humidity,0.03293947920133366,21.238072731569517,0.6144314786628332,3.1575805679477736e-136,***,17520.0,730.0,0.055736178021526195,0.6592786322684291,2.7902222671828865,2.665484147283865,27.00413271225865
Accra,precip_mm,-3.5702194748558925e-05,-0.0336962262315961,-0.21538606084521858,3.086378936498908e-18,***,4380.0,182.5,0.02469708065386511,0.02277362202292066,0.1473599001627117,0.04234314916806688,0.5660073430981937
Accra,pressure_mb,-0.004050106772838852,-1.2763020842234027,-0.3716218501606629,5.0377139409884296e-51,***,8760.0,365.0,0.28481026741913806,0.8169724791747441,0.5846841090287552,0.6544766838097967,4.608189688736376
Accra,temperature_celsius,-0.00448233530992562,-4.461462845607887,-0.3059285566642238,3.8484313991535923e-35,***,17520.0,730.0,0.1601325699767493,0.7406713099605842,0.8592780251717306,0.6281296526371166,5.804495340184454
Accra,uv_index,-0.010774602803891331,-6.749325935310366,-0.8707255200405885,1.7273183631241783e-271,***,17520.0,730.0,0.10916688955208986,0.884916563032246,0.7779819367534085,0.373161750851381,3.2809437993482673
Accra,visibility_km,-0.0005533682569474468,-1.1260535648366528,-0.17921716744649263,4.2958165745240226e-13,***,8760.0,365.0,0.0820020194681792,0.3517275719624541,1.470228560375063,0.934084091793695,6.7807811303190455
Accra,wind_kph,-0.008096386986908484,-5.534206324175548,-0.21405565890598863,4.953047060207908e-18,***,8760.0,365.0,0.20798500444610246,0.6249337075557648,3.5073909974306896,2.0356012698964214,21.82583735490645
Baghdad,air_quality_Carbon_Monoxide,-0.4517838013056413,241.5886579794589,-0.18038220869271093,3.031233464877674e-13,***,17520.0,730.0,0.02963357983028614,0.3419516953328581,1279.8523860524972,483.38115872926613,5245.500431560002
Baghdad,air_quality_PM10,-0.014402804514957533,26.826896141695414,-0.09746885393765148,8.122843260837088e-05,***,17520.0,730.0,0.03994177318687597,0.1121395712009764,58.39046523182522,27.295948362096293,238.60371490368547
Baghdad,humidity,0.04646233575647562,10.97562088126319,0.4306255519852678,6.862419178150437e-68,***,8760.0,365.0,0.10414632322872297,0.686885025645309,13.58120686695288,6.533898226856124,66.56735695618593
Baghdad,precip_mm,0.0001384873053586911,0.06029103077853298,0.16059284000615362,9.482618312817927e-11,***,876.0,36.5,0.0,0.0,1.1144279490878493,0.21116691000519047,6.31167409046534
Baghdad,pressure_mb,0.015121373525345583,1.4659612251523413,0.22248153785444497,2.3598963122439127e-19,***,8760.0,365.0,0.18489342319331148,0.8721066713950612,2.229389018641534,1.749409830201478,12.834044586534748
Baghdad,temperature_celsius,-0.027575589173691382,-5.340045588045939,-0.3579645601969295,1.7998354301559402e-47,***,8760.0,365.0,0.2155019983832014,0.9531277578884796,1.3696559845709086,1.4001970403466433,9.162742991387478
Baghdad,uv_index,-0.00866393858986056,-4.62948256930364,-0.3708702106469736,7.965326361158202e-51,***,8760.0,365.0,0.057859068497272625,0.9357043073280155,0.5815703540010787,0.32002340902381043,3.801347128437119
Baghdad,visibility_km,-0.0007848357035382867,0.6220151231635018,-0.49626669502685894,1.947979415493985e-89,***,17520.0,730.0,0.07815760501969604,0.15427642226954252,3.159381633631965,0.846612795151994,10.67051131113771
Baghdad,wind_kph,-0.001487278966773113,4.638286154177605,-0.04858221996730367,0.04950465466545354,*,8760.0,365.0,0.211638368382852,0.14109528109611424,2.7628797360572572,3.870382639732672,25.96433650631582
Bern,air_quality_Carbon_Monoxide,-0.17584811781081655,-53.914305009733425,-0.36218125786872607,1.4869918223430178e-48,***,17520.0,730.0,0.13244961426292656,0.8125844594732415,48.151857557555864,22.67758908025364,229.95944830912973
Bern,air_quality_PM10,0.0038959528263456944,8.223892054037787,-0.025161132720747124,0.3090176624390478,ns,17520.0,730.0,0.08100944580585168,0.4077301458046455,6.786983400469555,4.022044464762671,27.937783497512356
Bern,humidity,0.04992565635999323,20.259272345267632,0.4730781517184357,1.5065800708915917e-81,***,8760.0,365.0,0.14918382781862216,0.5972200356526088,10.11311616860138,6.988073529540528,54.72762427363988
Bern,precip_mm,-0.00017125675645008722,-0.2501134869086739,-0.45233290114061286,1.0276396657622428e-74,***,2502.857142857143,104.28571428571429,0.027754130274854294,0.016527574992205363,0.4706513269808041,0.1790052322906582,1.6469671383309126
Bern,pressure_mb,-0.0004781523826312621,-1.490841625858252,0.006813612191592911,0.7829475011073128,ns,17520.0,730.0,0.1335840661188923,0.25312238661485487,4.608067938335584,3.848641559006889,25.14062418062862
Bern,temperature_celsius,-0.023317362350958427,-5.812602072517862,-0.39280305165642554,8.531836507850811e-57,***,8760.0,365.0,0.19427269278371095,0.8987962846142766,1.4606753412040263,1.6978276567960382,13.718572490002444
Bern,uv_index,-0.0062662127662424265,-3.466741145860679,-0.4787229644662419,1.843996402264703e-83,***,8760.0,365.0,0.045932130851756625,0.8398016422741754,1.15741947110702,0.4654951758473871,4.768975115598101
Bern,visibility_km,-0.0018139332179440814,-0.335733708380447,-0.09497117047415878,0.00012385344701498373,***,8760.0,365.0,0.06623068044977232,0.057020072349848516,5.3366828025446695,1.6822219748027023,18.512348095071815
Bern,wind_kph,-0.004107007256835832,-5.612454726528533,-0.4845331379070597,1.8790917993505654e-85,***,8760.0,365.0,0.06643160784755298,0.124415551741757,3.076670158411756,1.9879590088246744,16.040697162708007
Dakar,air_quality_Carbon_Monoxide,-0.1615896475008677,-59.149774334360814,-0.37467350658624116,7.768066416884093e-52,***,17520.0,730.0,0.011294775666591428,0.6058105185139802,37.02542172800928,15.721292124834088,155.62624377027169
