,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
temperature_celsius,1.0,0.9999977605107652,0.25491445478763725,0.25491445478763725,0.016211632252005573,-0.3524756691451951,-0.3535801333969335,0.0501603314194508,0.0645998139225976,0.3325286164450705,0.013864239952078321,0.9965583282534023,0.9965789881007445,0.059978277317718105,0.060723530912999674,0.5385957202164094,0.24057429866466326,0.24054672995336665,-0.18411080460790152,0.24986773391295805,-0.12205091622352575,-0.2616798721634253,-0.09322367661984697,-0.046877913875659996,-0.08741406382876539,-0.08820875133377025,-0.009725395580687364
temperature_fahrenheit,0.9999977605107652,1.0,0.2549795479517782,0.2549795479517782,0.016279483212575826,-0.3524610409724603,-0.35356197119638566,0.05016009557047782,0.06460896548180384,0.3325516240559705,0.01383507828213924,0.9965572004133461,0.9965784278480782,0.059982059666326394,0.060727546215512726,0.5385589789388466,0.2406467149448577,0.24061941002091627,-0.18409385056565483,0.24990479048906025,-0.12199574679319287,-0.26162468747267525,-0.09316476735047242,-0.04681447082967954,-0.08732362932220779,-0.08812534961179758,-0.009667327123119998
wind_mph,0.25491445478763725,0.2549795479517782,1.0,1.0,0.28980324326980283,-0.18047923226003465,-0.1802126959168714,-0.0039863463815282265,0.02439449703306846,0.10704267981404182,-0.02099738118390031,0.22480934700620323,0.22496596488003345,-0.0631276028547702,-0.06736505015836394,0.07515113120653265,0.9706026653526145,0.9705375176041668,-0.038504184185340275,0.3076140800834907,-0.16614472325738075,-0.12334849184572115,-0.10048104830591027,-0.07610868723653891,-0.09458942830649843,-0.09685024978182034,0.02210632794928091
wind_kph,0.25491445478763725,0.2549795479517782,1.0,1.0,0.28980324326980283,-0.18047923226003465,-0.1802126959168714,-0.0039863463815282265,0.02439449703306846,0.10704267981404182,-0.02099738118390031,0.22480934700620323,0.22496596488003345,-0.0631276028547702,-0.06736505015836394,0.07515113120653265,0.9706026653526145,0.9705375176041668,-0.038504184185340275,0.3076140800834907,-0.16614472325738075,-0.12334849184572115,-0.10048104830591027,-0.07610868723653891,-0.09458942830649843,-0.09685024978182034,0.02210632794928091
wind_degree,0.016211632252005573,0.016279483212575826,0.28980324326980283,0.28980324326980283,1.0,-0.20436675203021423,-0.20376285356339024,-0.1192596213778097,-0.05234605665264435,-0.14478259650333636,-0.1834737316701874,0.011880295457652295,0.011603420683951354,0.01144801133003064,0.019344858862854544,0.02463647755241041,0.3031047249290778,0.30337091278020917,0.0812249251651253,0.048357745841241355,0.037940362118516965,0.06273687135099973,0.0395944854120204,0.028239986573745247,0.027842564069434455,0.03987632069741589,0.07341416018794826
pressure_mb,-0.3524756691451951,-0.3524610409724603,-0.18047923226003465,-0.18047923226003465,-0.20436675203021423,1.0,0.9998647157321897,-0.12393140644322617,-0.1204397398989969,-0.1762397165727547,0.03968249346915325,-0.34973672342957046,-0.34933129369002397,0.0733791937051074,0.07339281219706102,-0.21254476942492528,-0.20538579088293885,-0.2055075495977999,-0.07632923928003961,-0.11995028594703695,0.03636125896017614,0.09871731601267718,0.018652264144859716,0.039446277874344814,0.01514223635074436,0.00691058220406062,-0.0370383760025907
pressure_in,-0.3535801333969335,-0.35356197119638566,-0.1802126959168714,-0.1802126959168714,-0.20376285356339024,0.9998647157321897,1.0,-0.12372141686446535,-0.12073119347290649,-0.17669916316114045,0.04006945765067081,-0.35082271769540246,-0.3504104862770956,0.07379011906252461,0.07376612899616716,-0.21413894720713098,-0.2051140062139215,-0.20523631104657808,-0.07476503603282691,-0.1208501187197639,0.03738550378571048,0.10018911015533705,0.02073873976095377,0.04141009866024925,0.0172538305347368,0.008981438796798486,-0.035946688178920196
precip_mm,0.0501603314194508,0.05016009557047782,-0.0039863463815282265,-0.0039863463815282265,-0.1192596213778097,-0.12393140644322617,-0.12372141686446535,1.0,0.7182472324057465,0.46243107915939513,0.5053967054217683,0.05790527388327232,0.05770361068976072,-0.40409079417404653,-0.4054007065274461,0.006465509926154405,0.01276128046701164,0.01256808074526342,-0.15573828088503405,0.03149258784166871,-0.05958404887201103,-0.1697260789066937,-0.16181849249630875,-0.14510223401869193,-0.16178349088567331,-0.16931031889790263,0.011993557952355904
precip_in,0.0645998139225976,0.06460896548180384,0.02439449703306846,0.02439449703306846,-0.05234605665264435,-0.1204397398989969,-0.12073119347290649,0.7182472324057465,1.0,0.36282068681918717,0.3200170004345655,0.07085816771503842,0.07069304036439787,-0.4070644109928589,-0.39876910460815623,0.0030898671705056,0.027223791056859452,0.027172913669090214,-0.056778157616598865,0.002439614144867132,0.016785078751377212,-0.08902882953681929,-0.08796333739337237,-0.08114832382239721,-0.0937822917720701,-0.09092950483506818,0.04601150713828771
humidity,0.3325286164450705,0.3325516240559705,0.10704267981404182,0.10704267981404182,-0.14478259650333636,-0.1762397165727547,-0.17669916316114045,0.46243107915939513,0.36282068681918717,1.0,0.3817116371957766,0.34506521532468726,0.34513397101887955,-0.36676098964080645,-0.3737205832484359,0.1345731567306136,0.1570858995635749,0.15696804622908994,-0.11681911230008415,0.0604911097825689,-0.02061548743537035,-0.21051356368056492,-0.162110728055928,-0.09253733588944973,-0.17170156206342732,-0.16021914086349404,-0.002754307714738069
cloud,0.013864239952078321,0.01383507828213924,-0.02099738118390031,-0.02099738118390031,-0.1834737316701874,0.03968249346915325,0.04006945765067081,0.5053967054217683,0.3200170004345655,0.3817116371957766,1.0,0.01812703936260211,0.017921214773797073,-0.3012019973399244,-0.30537625425405346,0.03488191136217141,-0.0266734563389957,-0.026725550634764256,-0.18746093705871522,-0.07107721204125356,-0.0763379065963102,-0.19600813153508645,-0.18630198257942102,-0.17329965322751298,-0.185377709211653,-0.1871482218191506,0.018810728784826588
feels_like_celsius,0.9965583282534023,0.9965572004133461,0.22480934700620323,0.22480934700620323,0.011880295457652295,-0.34973672342957046,-0.35082271769540246,0.05790527388327232,0.07085816771503842,0.34506521532468726,0.01812703936260211,1.0,0.999984697230759,0.062415266035405904,0.06323361098359087,0.5378163294733365,0.21285974540419017,0.21282779021116036,-0.19047224527289097,0.23511960170703558,-0.12264687065510449,-0.26405099948564065,-0.09900179504121931,-0.05112579038562985,-0.09397355725914797,-0.09378298048285287,-0.005169778058047551
feels_like_fahrenheit,0.9965789881007445,0.9965784278480782,0.22496596488003345,0.22496596488003345,0.011603420683951354,-0.34933129369002397,-0.3504104862770956,0.05770361068976072,0.07069304036439787,0.34513397101887955,0.017921214773797073,0.999984697230759,1.0,0.06244446483067514,0.06326265430306043,0.5378205493466781,0.21298732133792048,0.2129551008266995,-0.19054948562461246,0.235171391739897,-0.12252476766500217,-0.26412735372677393,-0.09901634046637385,-0.051157094738733526,-0.09402032043538289,-0.09374207583743785,-0.005199350709329964
